"OT (%)","DEN (g/cm3)","ISC/CBR (%)","EXP (%)","LL (%)","IP (%)","50.8 ( #2"",N,255,2","25.4 (#1""),N,255,2","9.5 (#3/8"",N,255,2","4.76 (#4),N,255,2","2 (#10),N,255,2","0.42 (#40),N,255,2","0.074 (#20,N,255,2","AASHTO","MR modelado","Embrapa_Ar,N,21,5","Embrapa_Si,N,21,5","Embrapa_bu,N,21,5","Embrapa__1,N,21,5","terrain_su,N,21,5","TRI_sirgas,N,21,5","TWI,N,21,5","valley_dep,N,21,5","NVDI,N,21,5","MRVBF_reco,N,21,5","MRRTF_reco,N,21,5","Diurnal An,N,21,5","Direct_Ins,N,21,5"
6.20,1.71500,4.00,0.00,0.00,0.00,100.00,86.00,57.00,42.00,32.00,20.00,5.00,A - 2 - 4,136.87250,679.00000,190.00000,1.41000,296.00000,50.55250,12.04159,13.50042,177.86456,0.28595,5.71284,3.95239,-0.05911,6.18773
6.20,1.71500,4.00,0.00,0.00,0.00,100.00,86.00,57.00,42.00,32.00,20.00,5.00,A - 1 - b,136.87250,821.00000,206.00000,1.40000,336.00000,50.47048,16.76305,13.58353,160.84344,0.17838,0.42714,0.61038,0.00536,6.35498
6.20,1.71500,4.00,0.00,0.00,0.00,100.00,86.00,57.00,42.00,33.00,20.00,5.00,A - 2 - 4,105.66520,589.00000,182.00000,1.41000,310.00000,50.03765,26.03843,11.38671,165.41565,0.29297,0.15154,0.58839,0.11720,6.53309
6.20,1.71500,4.00,0.00,0.00,0.00,100.00,86.00,57.00,42.00,33.00,20.00,5.00,A - 4,105.66520,798.00000,186.00000,1.42000,294.00000,49.31848,18.22087,12.72012,179.25409,0.29297,0.12548,0.57277,0.04390,6.39116
6.20,1.71500,4.00,0.00,0.00,0.00,100.00,86.00,57.00,42.00,33.00,20.00,5.00,A - 1 - b,105.66520,536.00000,213.00000,1.42000,274.00000,47.08118,8.66025,12.48592,186.65540,0.19586,6.23002,0.04825,-0.03125,6.28342
6.20,1.71600,4.00,0.00,0.00,0.00,100.00,87.00,57.00,43.00,34.00,20.00,5.00,A - 4,68.68970,719.00000,203.00000,1.42000,281.00000,48.46577,11.53256,14.28424,181.03418,0.24823,5.71988,1.58543,-0.01002,6.33317
6.20,1.71500,4.00,0.00,0.00,0.00,100.00,86.00,57.00,42.00,32.00,20.00,5.00,A - 2 - 4,136.87250,785.00000,182.00000,1.42000,250.00000,50.41053,11.83216,12.72685,163.68079,0.28595,5.73270,3.96433,0.01071,6.33112
6.20,1.71500,4.00,0.00,0.00,0.00,100.00,86.00,57.00,43.00,33.00,20.00,5.00,A - 4,100.75260,545.00000,201.00000,1.43000,269.00000,47.72980,13.78405,12.20124,182.12885,0.21852,5.63839,1.34005,-0.02381,6.26906
6.30,1.72000,4.00,0.00,0.00,0.00,100.00,87.00,58.00,44.00,36.00,23.00,5.00,A - 1 - b,60.12260,605.00000,206.00000,1.41000,265.00000,51.40889,8.30662,13.47029,171.15979,0.20176,6.38376,2.98119,0.04003,6.48398
6.30,1.72100,4.00,0.00,0.00,0.00,100.00,89.00,61.00,47.00,38.00,25.00,6.00,A - 1 - b,55.89590,633.00000,204.00000,1.44000,260.00000,44.65237,7.48331,13.06020,167.95154,0.20566,6.48515,1.98757,0.02418,6.42554
6.30,1.72000,4.00,0.00,0.00,0.00,100.00,87.00,58.00,45.00,36.00,23.00,5.00,A - 1 - b,56.73360,556.00000,201.00000,1.43000,258.00000,51.29275,13.19091,12.67719,164.46912,0.20176,6.52393,2.98985,0.01796,6.43092
6.30,1.72000,4.00,0.00,0.00,0.00,100.00,88.00,60.00,45.00,37.00,24.00,5.00,A - 1 - a,71.47640,572.00000,213.00000,1.42000,274.00000,49.18632,10.09950,15.99718,170.82196,0.22096,6.40021,2.95767,0.01503,6.41178
6.30,1.72000,4.00,0.00,0.00,0.00,100.00,88.00,60.00,46.00,38.00,24.00,6.00,A - 4,24.87380,589.00000,222.00000,1.44000,252.00000,45.24571,3.74166,17.99367,180.46210,0.21807,6.50025,0.00847,-0.00293,6.34766
6.30,1.72000,4.00,0.00,0.00,0.00,100.00,88.00,60.00,47.00,38.00,24.00,6.00,A - 2 - 4,23.87960,573.00000,203.00000,1.44000,300.00000,42.90585,9.89950,13.03650,172.20697,0.23091,6.43371,0.07301,-0.01538,6.34826
6.30,1.72400,4.00,0.00,0.00,0.00,100.00,89.00,61.00,47.00,39.00,25.00,6.00,A - 2 - 4,50.65440,671.00000,216.00000,1.43000,270.00000,50.40578,7.41620,13.55842,151.69647,0.27702,5.76724,2.97022,0.01417,6.40204
6.30,1.72000,4.00,0.00,0.00,0.00,100.00,88.00,59.00,45.00,36.00,23.00,5.00,A - 1 - a,78.39070,587.00000,204.00000,1.43000,259.00000,47.82806,10.29563,14.32349,169.74469,0.21705,6.48645,2.93672,-0.01209,6.33914
6.30,1.72000,4.00,0.00,0.00,0.00,100.00,88.00,59.00,45.00,37.00,24.00,5.00,A - 1 - a,50.61010,574.00000,205.00000,1.43000,252.00000,47.90021,7.00000,12.99866,172.23419,0.21438,6.52854,2.69417,0.01710,6.41248
6.30,1.72000,4.00,0.00,0.00,0.00,100.00,88.00,59.00,45.00,37.00,24.00,5.00,A - 4,50.61010,546.00000,200.00000,1.43000,272.00000,48.25123,7.00000,13.12273,172.17670,0.21704,6.51169,2.65193,-0.01588,6.30526
6.30,1.72000,4.00,0.00,0.00,0.00,100.00,88.00,59.00,45.00,37.00,24.00,5.00,A - 2 - 4,50.61010,613.00000,203.00000,1.42000,280.00000,48.59130,3.87298,17.35865,174.49847,0.22096,6.52271,2.82532,0.00293,6.38152
6.30,1.72000,4.00,0.00,0.00,0.00,100.00,88.00,60.00,46.00,38.00,24.00,6.00,A - 4,24.87380,554.00000,212.00000,1.41000,268.00000,49.71186,10.34408,12.55265,160.19952,0.19043,6.49704,2.98925,0.00465,6.41400
6.30,1.72000,4.00,0.00,0.00,0.00,100.00,88.00,60.00,46.00,38.00,24.00,6.00,A - 2 - 4,24.87380,552.00000,208.00000,1.42000,253.00000,49.44699,11.13553,12.32697,157.99249,0.21893,6.42900,2.98753,-0.05620,6.21096
6.30,1.72000,4.00,0.00,0.00,0.00,100.00,88.00,60.00,47.00,38.00,24.00,6.00,A - 2 - 4,23.87960,546.00000,204.00000,1.45000,260.00000,43.48631,8.30662,12.75253,168.76807,0.27176,6.45639,1.98531,-0.02296,6.28877
6.30,1.72100,4.00,0.00,0.00,0.00,100.00,88.00,61.00,47.00,38.00,25.00,6.00,A - 4,47.23870,527.00000,214.00000,1.43000,272.00000,44.05432,11.13553,12.63710,169.18536,0.20525,6.22528,0.17771,-0.02745,6.31695
6.30,1.71700,4.00,0.00,0.00,0.00,100.00,87.00,57.00,43.00,34.00,21.00,5.00,A - 1 - b,80.52240,531.00000,216.00000,1.42000,263.00000,47.25562,12.49000,13.61882,188.88934,0.30398,6.41275,0.16508,0.03952,6.42961
6.30,1.72000,4.00,0.00,0.00,0.00,100.00,88.00,59.00,45.00,37.00,23.00,5.00,A - 1 - b,50.78630,570.00000,201.00000,1.42000,257.00000,47.06170,10.14889,13.10190,170.66284,0.22612,6.53271,2.90616,0.02711,6.44273
6.30,1.72000,4.00,0.00,0.00,0.00,100.00,88.00,60.00,46.00,38.00,24.00,6.00,A - 2 - 4,24.87380,639.00000,229.00000,1.43000,255.00000,44.37915,13.74773,13.68186,173.39545,0.19077,6.27731,1.59034,0.04294,6.49319
6.30,1.72000,4.00,0.00,0.00,0.00,100.00,87.00,59.00,45.00,36.00,23.00,5.00,A - 4,77.77180,539.00000,210.00000,1.41000,262.00000,49.25391,12.16553,12.54822,169.25281,0.21705,6.41777,2.96173,0.00951,6.35000
6.30,1.72000,4.00,0.00,0.00,0.00,100.00,88.00,59.00,45.00,37.00,23.00,5.00,A - 1 - a,50.78630,555.00000,207.00000,1.43000,258.00000,47.40549,4.79583,13.07579,172.69458,0.25284,6.53410,2.77303,0.02003,6.42683
6.30,1.72000,4.00,0.00,0.00,0.00,100.00,88.00,60.00,46.00,38.00,24.00,6.00,A - 2 - 4,24.87380,692.00000,222.00000,1.43000,244.00000,44.50180,8.54400,12.52279,174.58569,0.18309,6.42306,1.85943,0.03332,6.43681
6.30,1.72300,4.00,0.00,0.00,0.00,100.00,89.00,61.00,47.00,39.00,25.00,6.00,A - 1 - b,45.32460,935.00000,210.00000,1.43000,285.00000,48.01306,2.44949,14.60513,163.50220,0.19934,6.18098,2.88457,0.00708,6.38259
6.30,1.72000,4.00,0.00,0.00,0.00,100.00,88.00,60.00,47.00,38.00,24.30,6.00,A - 1 - b,24.01810,548.00000,228.00000,1.44000,240.00000,42.65401,11.48913,14.03618,168.66559,0.29478,6.49288,1.98932,-0.00916,6.35153
6.30,1.71800,4.00,0.00,0.00,0.00,100.00,87.00,58.00,43.00,35.00,22.00,5.00,A - 2 - 4,81.40500,848.00000,199.00000,1.42000,267.00000,46.22682,11.22497,14.40886,190.25269,0.24188,5.83242,0.02374,0.01158,6.33975
6.30,1.71800,4.00,0.00,0.00,0.00,100.00,87.00,58.00,44.00,35.00,22.00,5.00,A - 4,77.62270,534.00000,195.00000,1.42000,279.00000,47.60148,9.69536,12.33920,183.93799,0.29566,6.33261,1.90655,-0.03588,6.23677
6.30,1.72000,4.00,0.00,0.00,0.00,100.00,88.00,60.00,46.00,38.00,24.00,6.00,A - 4,24.87380,778.00000,211.00000,1.41000,280.00000,47.74792,10.39230,12.40638,164.87061,0.20618,6.39211,2.95357,0.00951,6.34930
6.30,1.72300,4.00,0.00,0.00,0.00,100.00,89.00,61.00,47.00,39.00,25.00,6.00,A - 2 - 4,45.32460,562.00000,208.00000,1.43000,256.00000,45.64310,10.77033,13.01961,161.18353,0.23266,6.31426,2.87404,-0.00036,6.39706
6.30,1.72000,4.00,0.00,0.00,0.00,100.00,87.00,59.00,45.00,36.00,23.00,5.00,A - 4,77.77180,547.00000,204.00000,1.43000,261.00000,50.33914,7.21110,13.48242,168.44043,0.23912,6.55233,2.98927,0.00329,6.35316
6.30,1.72000,4.00,0.00,0.00,0.00,100.00,87.00,58.00,44.00,36.00,22.00,5.00,A - 2 - 4,60.57290,547.00000,206.00000,1.43000,260.00000,51.74630,3.46410,14.06454,177.19708,0.23857,6.57230,2.86091,0.00086,6.38085
6.30,1.72100,4.00,0.00,0.00,0.00,100.00,88.00,61.00,47.00,38.00,25.00,6.00,A - 1 - b,47.23870,537.00000,214.00000,1.46000,257.00000,43.13869,8.00000,13.14793,172.57550,0.23214,6.51334,1.97945,0.01330,6.37853
6.30,1.72200,4.00,0.00,0.00,0.00,100.00,89.00,61.00,47.00,38.00,25.00,6.00,A - 2 - 4,61.37940,901.00000,203.00000,1.45000,253.00000,44.92787,6.85565,14.02354,170.54852,0.19176,6.44285,0.25738,0.02589,6.45249
6.30,1.71700,4.00,0.00,0.00,0.00,100.00,87.00,57.00,43.00,34.00,21.00,5.00,A - 2 - 4,80.52240,529.00000,203.00000,1.41000,282.00000,48.06496,7.34847,13.87936,183.34308,0.24823,6.43752,1.67646,-0.00086,6.34777
6.30,1.71700,4.00,0.00,0.00,0.00,100.00,87.00,57.00,43.00,34.00,21.00,5.00,A - 2 - 4,80.52240,527.00000,203.00000,1.44000,274.00000,47.03534,12.92285,12.37193,185.23358,0.33981,5.92048,0.08691,-0.03332,6.28421
