"Coordenada,N,24,15","Coordena_1,N,24,15","Local/Rodo,C,254","Estaca,C,254","Profundida,C,254","OT (%),N,255,2","DEN (g/cm3,N,255,5","ISC/CBR (%,N,255,2","EXP (%),N,255,2","LL (%),N,255,2","IP (%),N,255,2","50.8 ( #2"",N,255,2","25.4 (#1""),N,255,2","9.5 (#3/8"",N,255,2","4.76 (#4),N,255,2","2 (#10),N,255,2","0.42 (#40),N,255,2","0.074 (#20,N,255,2","AASHTO/TRB,C,254",MR modelado,"Embrapa_Ar,N,21,5","Embrapa_Si,N,21,5","Embrapa_bu,N,21,5","Embrapa__1,N,21,5","Simbolos,C,254","COMP1,C,254","COMP2,C,254","COMP3,C,254","LEG_DESC,C,254","Area_km2,N,33,31","ORDEM1,C,254","SUBORDEM1,C,254","GDEGRUPO1,C,254","ORDEM2,C,254","SUBORDEM2,C,254","GDEGRUPO2,C,254","ORDEM3,C,254","SUBORDEM3,C,254","GDEGRUPO3,C,254","LEG_SINOT,C,254","CLASSE_DOM,C,254","terrain_su,N,21,5","TRI_sirgas,N,21,5","TWI,N,21,5","valley_dep,N,21,5","NVDI,N,21,5","MRVBF_reco,N,21,5","MRRTF_reco,N,21,5","Diurnal An,N,21,5","Direct_Ins,N,21,5",,,,,,,,,,,,,,,,
"492184,9970","9365373,0760",BR-266/CE,3082,00 - 80,"6,20","1,71500","4,00","0,00","0,00","0,00","100,00","86,00","57,00","42,00","32,00","20,00","5,00",A - 2 - 4,"136,87250","679,00000","190,00000","1,41000","296,00000",SXe16,Planossolos Haplicos Eutroficos,Planossolos Natricos Orticos,Neossolos Litolicos Eutroficos,SXe16 - Planossolos Haplicos Eutroficos + Planossolos Natricos Orticos + Neossolos Litolicos Eutroficos,"1136,5067444100000000000000000000000",PLANOSSOLOS,HAPLICOS,Eutroficos,PLANOSSOLOS,NATRICOS,Orticos,NEOSSOLOS,LITOLICOS,Eutroficos,SXe - Planossolos Haplicos Eutroficos,SXe,"50,55250","12,04159","13,50042","177,86456","0,28595","5,71284","3,95239","-0,05911","6,18773",,,,,,,,,,,,,,,,
"491803,9100","9365564,6740",BR-266/CE,3105,00 - 80,"6,20","1,71500","4,00","0,00","0,00","0,00","100,00","86,00","57,00","42,00","32,00","20,00","5,00",A - 1 - b,"136,87250","821,00000","206,00000","1,40000","336,00000",SXe16,Planossolos Haplicos Eutroficos,Planossolos Natricos Orticos,Neossolos Litolicos Eutroficos,SXe16 - Planossolos Haplicos Eutroficos + Planossolos Natricos Orticos + Neossolos Litolicos Eutroficos,"1136,5067444100000000000000000000000",PLANOSSOLOS,HAPLICOS,Eutroficos,PLANOSSOLOS,NATRICOS,Orticos,NEOSSOLOS,LITOLICOS,Eutroficos,SXe - Planossolos Haplicos Eutroficos,SXe,"50,47048","16,76305","13,58353","160,84344","0,17838","0,42714","0,61038","0,00536","6,35498",,,,,,,,,,,,,,,,
"491669,8670","9365707,3250",BR-266/CE,3115,00 - 50,"6,20","1,71500","4,00","0,00","0,00","0,00","100,00","86,00","57,00","42,00","33,00","20,00","5,00",A - 2 - 4,"105,66520","589,00000","182,00000","1,41000","310,00000",SXe16,Planossolos Haplicos Eutroficos,Planossolos Natricos Orticos,Neossolos Litolicos Eutroficos,SXe16 - Planossolos Haplicos Eutroficos + Planossolos Natricos Orticos + Neossolos Litolicos Eutroficos,"1136,5067444100000000000000000000000",PLANOSSOLOS,HAPLICOS,Eutroficos,PLANOSSOLOS,NATRICOS,Orticos,NEOSSOLOS,LITOLICOS,Eutroficos,SXe - Planossolos Haplicos Eutroficos,SXe,"50,03765","26,03843","11,38671","165,41565","0,29297","0,15154","0,58839","0,11720","6,53309",,,,,,,,,,,,,,,,
"491498,3900","9365806,8240",BR-266/CE,3125,00 - 50,"6,20","1,71500","4,00","0,00","0,00","0,00","100,00","86,00","57,00","42,00","33,00","20,00","5,00",A - 4,"105,66520","798,00000","186,00000","1,42000","294,00000",SXe16,Planossolos Haplicos Eutroficos,Planossolos Natricos Orticos,Neossolos Litolicos Eutroficos,SXe16 - Planossolos Haplicos Eutroficos + Planossolos Natricos Orticos + Neossolos Litolicos Eutroficos,"1136,5067444100000000000000000000000",PLANOSSOLOS,HAPLICOS,Eutroficos,PLANOSSOLOS,NATRICOS,Orticos,NEOSSOLOS,LITOLICOS,Eutroficos,SXe - Planossolos Haplicos Eutroficos,SXe,"49,31848","18,22087","12,72012","179,25409","0,29297","0,12548","0,57277","0,04390","6,39116",,,,,,,,,,,,,,,,
"491152,4450","9365930,5420",BR-266/CE,3145,00 - 140,"6,20","1,71500","4,00","0,00","0,00","0,00","100,00","86,00","57,00","42,00","33,00","20,00","5,00",A - 1 - b,"105,66520","536,00000","213,00000","1,42000","274,00000",SXe16,Planossolos Haplicos Eutroficos,Planossolos Natricos Orticos,Neossolos Litolicos Eutroficos,SXe16 - Planossolos Haplicos Eutroficos + Planossolos Natricos Orticos + Neossolos Litolicos Eutroficos,"1136,5067444100000000000000000000000",PLANOSSOLOS,HAPLICOS,Eutroficos,PLANOSSOLOS,NATRICOS,Orticos,NEOSSOLOS,LITOLICOS,Eutroficos,SXe - Planossolos Haplicos Eutroficos,SXe,"47,08118","8,66025","12,48592","186,65540","0,19586","6,23002","0,04825","-0,03125","6,28342",,,,,,,,,,,,,,,,
"490679,5830","9365768,1790",BR-266/CE,3170,00 - 130,"6,20","1,71600","4,00","0,00","0,00","0,00","100,00","87,00","57,00","43,00","34,00","20,00","5,00",A - 4,"68,68970","719,00000","203,00000","1,42000","281,00000",SXe16,Planossolos Haplicos Eutroficos,Planossolos Natricos Orticos,Neossolos Litolicos Eutroficos,SXe16 - Planossolos Haplicos Eutroficos + Planossolos Natricos Orticos + Neossolos Litolicos Eutroficos,"1136,5067444100000000000000000000000",PLANOSSOLOS,HAPLICOS,Eutroficos,PLANOSSOLOS,NATRICOS,Orticos,NEOSSOLOS,LITOLICOS,Eutroficos,SXe - Planossolos Haplicos Eutroficos,SXe,"48,46577","11,53256","14,28424","181,03418","0,24823","5,71988","1,58543","-0,01002","6,33317",,,,,,,,,,,,,,,,
"492384,4460","9365358,3690",BR-266/CE,3072,00 - 100,"6,20","1,71500","4,00","0,00","0,00","0,00","100,00","86,00","57,00","42,00","32,00","20,00","5,00",A - 2 - 4,"136,87250","785,00000","182,00000","1,42000","250,00000",SXe16,Planossolos Haplicos Eutroficos,Planossolos Natricos Orticos,Neossolos Litolicos Eutroficos,SXe16 - Planossolos Haplicos Eutroficos + Planossolos Natricos Orticos + Neossolos Litolicos Eutroficos,"1136,5067444100000000000000000000000",PLANOSSOLOS,HAPLICOS,Eutroficos,PLANOSSOLOS,NATRICOS,Orticos,NEOSSOLOS,LITOLICOS,Eutroficos,SXe - Planossolos Haplicos Eutroficos,SXe,"50,41053","11,83216","12,72685","163,68079","0,28595","5,73270","3,96433","0,01071","6,33112",,,,,,,,,,,,,,,,
"490963,7040","9365864,4070",BR-266/CE,3155,00 - 100,"6,20","1,71500","4,00","0,00","0,00","0,00","100,00","86,00","57,00","43,00","33,00","20,00","5,00",A - 4,"100,75260","545,00000","201,00000","1,43000","269,00000",SXe16,Planossolos Haplicos Eutroficos,Planossolos Natricos Orticos,Neossolos Litolicos Eutroficos,SXe16 - Planossolos Haplicos Eutroficos + Planossolos Natricos Orticos + Neossolos Litolicos Eutroficos,"1136,5067444100000000000000000000000",PLANOSSOLOS,HAPLICOS,Eutroficos,PLANOSSOLOS,NATRICOS,Orticos,NEOSSOLOS,LITOLICOS,Eutroficos,SXe - Planossolos Haplicos Eutroficos,SXe,"47,72980","13,78405","12,20124","182,12885","0,21852","5,63839","1,34005","-0,02381","6,26906",,,,,,,,,,,,,,,,
"487751,3290","9365696,5470",BR-266/CE,3333,00 - 90,"6,30","1,72000","4,00","0,00","0,00","0,00","100,00","87,00","58,00","44,00","36,00","23,00","5,00",A - 1 - b,"60,12260","605,00000","206,00000","1,41000","265,00000",SXe16,Planossolos Haplicos Eutroficos,Planossolos Natricos Orticos,Neossolos Litolicos Eutroficos,SXe16 - Planossolos Haplicos Eutroficos + Planossolos Natricos Orticos + Neossolos Litolicos Eutroficos,"1136,5067444100000000000000000000000",PLANOSSOLOS,HAPLICOS,Eutroficos,PLANOSSOLOS,NATRICOS,Orticos,NEOSSOLOS,LITOLICOS,Eutroficos,SXe - Planossolos Haplicos Eutroficos,SXe,"51,40889","8,30662","13,47029","171,15979","0,20176","6,38376","2,98119","0,04003","6,48398",,,,,,,,,,,,,,,,
"482310,0940","9369850,5620",BR-266/CE,3692,00 - 90,"6,30","1,72100","4,00","0,00","0,00","0,00","100,00","89,00","61,00","47,00","38,00","25,00","6,00",A - 1 - b,"55,89590","633,00000","204,00000","1,44000","260,00000",TCo8,Luvissolos Cromicos Orticos,Neossolos Litolicos Eutroficos,Argissolos Vermelho-Amarelos Eutroficos,TCo8 - Luvissolos Cromicos Orticos + Neossolos Litolicos Eutroficos + Argissolos Vermelho-Amarelos Eutroficos,"394,9018399410000000000000000000000",LUVISSOLOS,CROMICOS,Orticos,NEOSSOLOS,LITOLICOS,Eutroficos,ARGISSOLOS,VERMELHO-AMARELOS,Eutroficos,TCo - Luvissolos Cromicos Orticos,TCo,"44,65237","7,48331","13,06020","167,95154","0,20566","6,48515","1,98757","0,02418","6,42554",,,,,,,,,,,,,,,,
